StationID,EventCode,SampleYear,EQ Latitude,EQ Longitude,TowType,TrawlPerformance,Effort,Effort_Units,Bottom DepthStart,Gear Depth,CommonName,ScientificName,TotalCatchNum,TotalCatchWt,SurfaceTemperature,SurfaceSalinity,Surface_CHLA,BottomTemperature,BottomSalinity,Bottom_CHLA
20120801001,03,2012,65.9997,-168.4913,Surface,Satisfactory,0.2074,km2,53,,Aurelia sp.,Aurelia sp.,,30,1.80225,32.53253333,5.725745203,2.0606,32.8374,1.572638371
20120801001,03,2012,65.9997,-168.4913,Surface,Satisfactory,0.2074,km2,53,,Capelin,Mallotus villosus,148,260,1.80225,32.53253333,5.725745203,2.0606,32.8374,1.572638371
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Rainbow Smelt,Osmerus mordax dentex,1,4,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chrysaora melanaster,Chrysaora melanaster,6,5040,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Arctic Cod,Boreogadus saida,1,1,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Saffron Cod,Eleginus gracilis,8,140,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chum Salmon,Oncorhynchus keta,4,11460,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Sockeye Salmon,Oncorhynchus nerka,20,760,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pink Salmon,Oncorhynchus gorbuscha,4,48.4,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Antlered Sculpin,Enophrys diceraus,1,20,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Capelin,Mallotus villosus,4,20,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chum Salmon,Oncorhynchus keta,85,1661.6,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Wattled Eelpout,Lycodes palearis,1,30,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Arctic Staghorn Sculpin,Gymnocanthus tricuspis,1,10,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pollock,Gadus chalcogrammus,15,160,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pacific Herring,Clupea pallasi,7104,682660,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Prickleback,Lumpenus,2,110,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Shorthorn sculpin,Myoxocephalus scorpius,2,20,10.54058333,26.59591667,0.892008603,9.348,29.2119,1.21352959
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Whitecross jellyfish,Staurophora mertensii,,1356,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Cyanea capillata,Cyanea capillata,50,950,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Chum Salmon,Oncorhynchus keta,11,350,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Sockeye Salmon,Oncorhynchus nerka,8,450,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Capelin,Mallotus villosus,279,1230,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Rainbow Smelt,Osmerus mordax dentex,2,110,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Saffron Cod,Eleginus gracilis,6,6,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Saffron Cod,Eleginus gracilis,5,70,9.780433333,29.39868333,1.179621602,9.4261,29.5947,1.575662869
