StationID,EventCode,SampleYear,EQ Latitude,EQ Longitude,TowType,TrawlPerformance,Effort,Effort_Units,Bottom DepthStart,Gear Depth,CommonName,ScientificName,LHSCode,TotalCatchNum,TotalCatchWt
20120801001,03,2012,65.9997,-168.4913,Surface,Satisfactory,0.2074,km2,53,,Aurelia sp.,Aurelia sp.,U,,30
20120801001,03,2012,65.9997,-168.4913,Surface,Satisfactory,0.2074,km2,53,,Capelin,Mallotus villosus,U,148,260
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chrysaora melanaster,Chrysaora melanaster,U,6,5040
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pink Salmon,Oncorhynchus gorbuscha,J,4,48.4
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chum Salmon,Oncorhynchus keta,IM,4,11460
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Chum Salmon,Oncorhynchus keta,J,85,1661.6
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Sockeye Salmon,Oncorhynchus nerka,J,20,760
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Capelin,Mallotus villosus,U,4,20
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Rainbow Smelt,Osmerus mordax dentex,U,1,4
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Arctic Cod,Boreogadus saida,A0,1,1
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Saffron Cod,Eleginus gracilis,A1+,8,140
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Wattled Eelpout,Lycodes palearis,U,1,30
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Antlered Sculpin,Enophrys diceraus,U,1,20
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Arctic Staghorn Sculpin,Gymnocanthus tricuspis,U,1,10
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Shorthorn sculpin,Myoxocephalus scorpius,U,2,20
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Prickleback,Lumpenus,U,2,110
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pacific Herring,Clupea pallasi,U,7104,682660
20120801003,03,2012,66.0804,-167.3923,Surface,Good,0.2499,km2,22,,Pollock,Gadus chalcogrammus,A1+,15,160
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Chrysaora melanaster,Chrysaora melanaster,U,1,1000
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Cyanea capillata,Cyanea capillata,U,50,950
20120801004,03,2012,66.5703,-165.8397,Surface,Good,0.2405,km2,19,,Pink Salmon,Oncorhynchus gorbuscha,J,12,190
